Plugin ID,CVE,CVSS,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,,,,,,,,,,,,
4345435,,RD23432,Low,WinVM,TCP,8080,CTM9,H43,,P23131,,,,,,,,,,,,
2323112,,RU34421,Medium,Redhat,TCP,8080,CTM8,E923,,AR9232,,,,,,,,,,,,
4345435,,RD23432,Low,WinVM,TCP,8080,CTM9,H43,,P23131,,,,,,,,,,,,
4345435,,RD23432,Low,WinVM,TCP,8080,CTM9,H43,,P23131,,,,,,,,,,,,
4345435,,RD23432,Low,WinVM,TCP,8080,CTM9,H43,,P23131,,,,,,,,,,,,
4345435,,RD23432,Low,WinVM,TCP,8080,CTM9,H43,,P23131,,,,,,,,,,,,
1345238,CVE0230190,ER13430,High,Suse,TCP,8080,CTM9,H16,,P23130,,,,,,,,,,,,
4345435,,RD23432,Low,WinVM,TCP,8080,CTM9,H43,,P23131,,,,,,,,,,,,
2323112,,RU34421,Medium,Redhat,TCP,8080,CTM8,E923,,AR9232,,,,,,,,,,,,
2323113,,RU34421,Medium,Redhat,TCP,8080,CTM8,E925,None,AR9232,,,,,,,,,,,,
2323114,,RU34421,Medium,Redhat,TCP,8080,CTM8,E923,,AR9232,,,,,,,,,,,,
2323115,,RU34421,Medium,Redhat,TCP,8080,CTM8,E923,,AR9232,,,,,,,,,,,,
8767432,,RD45435,Low,Ubuntu,TCP,433,EM8,H43,,T09832,,,,,,,,,,,,
8767433,,RD45436,Medium,Ubuntu,TCP,433,WRE2010,Y80,,T09833,,,,,,,,,,,,
8787532,,RR15438,Medium,Openbox,TCP,433,NFX12,Y85,Refer to T09850,T09850,,,,,,,,,,,,
8787532,,RR15438,Medium,Openbox,TCP,433,NFX12,Y85,,T09850,,,,,,,,,,,,
8787532,,RR15438,Medium,Openbox,TCP,433,NFX12,Y85,,T09850,,,,,,,,,,,,
8787532,,RR15438,Medium,Openbox,TCP,433,NFX12,Y85,,T09850,,,,,,,,,,,,
8787532,,RR15438,Medium,Openbox,TCP,433,NFX12,Y85,,T09850,,,,,,,,,,,,
8787532,,RR15438,Medium,Openbox,TCP,433,NFX12,Y85,,T09850,,,,,,,,,,,,
8787532,,RR15438,Medium,Openbox,TCP,433,NFX12,Y85,,T09850,,,,,,,,,,,,
4345435,,RD23432,Low,WinVM,TCP,8080,CTM9,H43,,P23131,,,,,,,,,,,,
4345435,,RD23432,Low,WinVM,TCP,8080,CTM9,H43,,P23131,,,,,,,,,,,,
4345435,,RD23432,Low,WinVM,TCP,8080,CTM9,H43,,P23131,,,,,,,,,,,,
4345435,CVE0230191,XW12123,Low,CentOS,UDP,13450,CTM9,H43,,P23131,,,,,,,,,,,,
4345435,,RD23432,Low,WinVM,TCP,8080,CTM9,H43,,P23131,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
